Company Name,Industry,Symbol,Series,ISIN Code,Tier
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013,3
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011,3
Ceigall India Ltd.,Construction,CEIGALL,EQ,INE0AG901020,3
Cello World Ltd.,Consumer Durables,CELLO,EQ,INE0LMW01024,3
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050,3
Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014,3
Cigniti Technologies Ltd.,Information Technology,CIGNITITEC,EQ,INE675C01017,3
Cyient DLM Ltd.,Capital Goods,CYIENTDLM,EQ,INE055S01018,3
DCB Bank Ltd.,Financial Services,DCBBANK,EQ,INE503A01015,3
DCX Systems Ltd.,Capital Goods,DCXINDIA,EQ,INE0KL801015,3
Datamatics Global Services Ltd.,Information Technology,DATAMATICS,EQ,INE365B01017,3
Dhani Services Ltd.,Financial Services,DHANI,EQ,INE274G01010,3
Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012,3
Dishman Carbogen Amcis Ltd.,Healthcare,DCAL,BE,INE385W01011,3
Dodla Dairy Ltd.,Fast Moving Consumer Goods,DODLA,EQ,INE021O01019,3
Dynamatic Technologies Ltd.,Capital Goods,DYNAMATECH,EQ,INE221B01012,3
